Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,35097,Welland,LIB,108876,49908,49564,19642,12997,14623,0,1454,848
2004,35098,Wellington--Halton Hills,CPC,100555,50382,50177,19173,21479,5974,0,2725,826
2004,35099,Whitby--Oshawa,LIB,112802,57224,56941,25649,20531,8002,0,2759,0
2004,35100,Willowdale,LIB,108454,50474,50262,30855,11615,4812,0,1844,1136
2004,35101,Windsor--Tecumseh,NDP,116466,48240,47878,16219,9827,20037,0,1613,182
2004,35102,Windsor West,NDP,117041,44428,44155,13831,8348,20297,0,1545,134
2004,35103,York Centre,LIB,113420,39626,39278,21520,10318,5376,0,1240,824
2004,35104,York--Simcoe,CPC,112541,47486,47254,16763,21343,5314,0,2576,1258
2004,35105,York South--Weston,LIB,114539,34591,34325,20537,5133,7281,0,1199,175
2004,35106,York West,LIB,110384,27903,27655,17903,3120,4228,0,824,1580
2004,46001,Brandon--Souris,CPC,83510,35398,35204,8522,18209,6740,0,1264,469
2004,46002,Charleswood--St. James,CPC,81874,42300,42191,17954,18688,4283,0,880,386
2004,46003,Churchill,NDP,73428,19915,19827,7604,2999,8612,0,612,0
2004,46004,Dauphin--Swan River,CPC,77586,33576,33408,6809,18025,7341,0,673,560
2004,46005,Elmwood--Transcona,NDP,77997,29358,29278,4923,7644,15221,0,719,771
2004,46006,Kildonan--St. Paul,CPC,77131,36529,36412,13304,13582,8202,0,756,568
2004,46007,Portage--Lisgar,CPC,83381,34941,34795,6174,22939,3251,0,856,1575
2004,46008,Provencher,CPC,81910,36168,36013,8975,22694,3244,0,1100,0
2004,46009,Saint Boniface,LIB,81239,38726,38596,17989,11956,6954,0,925,772
2004,46010,Selkirk--Interlake,CPC,86555,39830,39637,9059,18727,10516,0,982,353
2004,46011,Winnipeg Centre,NDP,80930,26956,26768,9285,3631,12149,0,1151,552
2004,46012,Winnipeg North,NDP,79332,26095,25967,9491,3186,12507,0,531,252
2004,46013,Winnipeg South,LIB,76871,37666,37556,19270,12770,4217,0,1003,296
2004,46014,Winnipeg South Centre,LIB,77839,39054,38915,18133,10516,8270,0,1508,488
2004,47001,Battlefords--Lloydminster,CPC,73396,26601,26507,4617,15441,5367,0,766,316
2004,47002,Blackstrap,CPC,73725,37728,37630,11815,15608,8862,0,1168,177
2004,47003,Churchill River,CPC,64416,19542,19466,5815,7279,3910,0,539,1923
2004,47004,Cypress Hills--Grasslands,CPC,65216,29818,29701,5547,18010,4901,0,1243,0
2004,47005,Palliser,CPC,67282,33326,33218,8244,11909,11785,0,829,451
2004,47006,Prince Albert,CPC,73988,28820,28713,6929,13576,7221,0,987,0
2004,47007,Regina--Lumsden--Lake Centre,CPC,66374,31057,30978,10167,10289,8300,0,716,1506
2004,47008,Regina--Qu'Appelle,CPC,69014,28083,27994,7793,10012,9151,0,639,399
2004,47009,Saskatoon--Humboldt,CPC,70405,35373,35307,9009,9444,9027,0,680,7147
2004,47010,Saskatoon--Rosetown--Biggar,CPC,73077,26576,26484,4171,11875,9597,0,841,0
2004,47011,Saskatoon--Wanuskewin,CPC,72429,32468,32392,10553,15109,5770,0,960,0
2004,47012,Souris--Moose Mountain,CPC,66223,30719,30636,6001,11306,4202,0,537,8590
2004,47013,Wascana,LIB,72508,36055,35975,20567,8709,5771,0,928,0
2004,47014,Yorkton--Melville,CPC,70880,31794,31681,4697,19940,5890,0,630,524
2004,48001,Athabasca,CPC,88882,29869,29757,7158,17942,3115,0,1542,0
2004,48002,Calgary East,CPC,115565,36034,35827,7621,21897,3535,0,2529,245
2004,48003,Calgary North Centre,CPC,117252,52126,51938,11093,28143,6298,0,5840,564
2004,48004,Calgary Northeast,CPC,109339,35407,35227,8672,21924,2682,0,1658,291
2004,48005,Calgary--Nose Hill,CPC,100026,48418,48287,11051,31088,3250,0,2898,0
2004,48006,Calgary South Centre,CPC,117439,51403,51201,15305,26192,4350,0,5080,274
2004,48007,Calgary Southeast,CPC,107432,52011,51892,8488,36843,3419,0,3142,0
2004,48008,Calgary Southwest,CPC,107920,51786,51637,9501,35297,2884,0,3210,745
2004,48009,Calgary West,CPC,103893,56216,56032,16402,31322,3632,0,4274,402
2004,48010,Crowfoot,CPC,104059,47028,46939,3615,37649,3241,0,1795,639
2004,48011,Edmonton--Beaumont,LIB,99508,41178,40997,17555,17421,3975,0,1911,135
2004,48012,Edmonton Centre,LIB,115900,53317,53083,22560,21839,4836,0,2584,1264
2004,48013,Edmonton East,CPC,119160,44150,43947,14250,20224,6464,0,2471,538
2004,48014,Edmonton--Leduc,CPC,95700,48781,48670,14269,26791,4581,0,3029,0
2004,48015,Edmonton--St. Albert,CPC,113146,51317,51181,12359,29508,5927,0,3387,0
2004,48016,Edmonton--Sherwood Park,CPC,103610,47136,47042,11519,27222,5155,0,3146,0
2004,48017,Edmonton--Spruce Grove,CPC,111622,50595,50489,12912,30497,4508,0,2572,0
2004,48018,Edmonton--Strathcona,CPC,98974,48599,48449,14057,19089,11535,0,3146,622
2004,48019,Lethbridge,CPC,106132,47667,47532,10250,29765,4623,0,1262,1632
2004,48020,Macleod,CPC,97578,43224,43113,5214,32232,2802,0,2865,0
2004,48021,Medicine Hat,CPC,105009,39811,39713,4331,30241,3643,0,1498,0
2004,48022,Peace River,CPC,123877,43360,43235,8200,28158,4804,0,2073,0
2004,48023,Red Deer,CPC,105070,44916,44799,5294,33510,3500,0,2142,353
2004,48024,Vegreville--Wainwright,CPC,107771,46082,45959,5390,33800,3793,0,2976,0
2004,48025,Westlock--St. Paul,CPC,99081,39719,39568,7619,26433,3480,0,2036,0
2004,48026,Wetaskiwin,CPC,101163,42736,42634,5088,31404,3090,0,2642,410
2004,48027,Wild Rose,CPC,101690,47322,47221,5971,33337,4009,0,3904,0
2004,48028,Yellowhead,CPC,98009,38724,38628,4441,26503,4429,0,2534,721
2004,59001,Abbotsford,CPC,116098,48390,48208,9617,29587,6575,0,1389,1040
2004,59002,Burnaby--Douglas,NDP,108891,45663,45343,14748,12531,15682,0,1687,695
2004,59003,Burnaby--New Westminster,NDP,111048,41915,41698,13732,11821,14061,0,1606,478
2004,59004,Cariboo--Prince George,CPC,111486,42372,42212,8397,19721,11183,0,1798,1113
2004,59005,Chilliwack--Fraser Canyon,CPC,103716,44993,44892,8249,24096,9244,0,1449,1854
2004,59006,Delta--Richmond East,CPC,103045,46890,46727,15515,21308,6838,0,3066,0
2004,59007,Dewdney--Alouette,CPC,110577,48141,48016,10500,18490,15693,0,2535,798
2004,59008,Esquimalt--Juan de Fuca,LIB,110909,55073,54929,19389,13271,16821,0,5078,370
2004,59009,Fleetwood--Port Kells,CPC,101198,39465,39247,11568,14052,10976,0,2484,167
2004,59010,Kamloops--Thompson,CPC,111721,51232,51077,14434,20611,13379,0,2213,440
2004,59011,Kelowna,CPC,111206,53396,53237,14109,25553,8954,0,3903,718
2004,59012,Kootenay--Columbia,CPC,88637,41147,41017,7351,21336,9772,0,2558,0
2004,59013,Langley,CPC,111046,51268,51137,12649,24390,8568,0,3108,2422
2004,59014,Nanaimo--Alberni,CPC,112972,59447,59278,11770,23158,19152,0,4357,841
2004,59015,Nanaimo--Cowichan,NDP,116754,57896,57749,9257,18928,25243,0,3822,499
2004,59016,Newton--North Delta,CPC,111050,41444,41228,13009,13529,12037,0,2555,98
2004,59017,New Westminster--Coquitlam,CPC,109301,47870,47737,13080,15693,15580,0,2684,700
2004,59018,North Okanagan--Shuswap,CPC,109711,51939,51765,11636,24014,12528,0,2333,1254
2004,59019,North Vancouver,LIB,120841,56664,56506,22619,20548,8967,0,4114,258
2004,59020,Okanagan--Coquihalla,CPC,101831,48858,48644,11212,24220,9509,0,2896,807
2004,59021,Port Moody--Westwood--Port Coquitlam,CPC,109394,45753,45584,12445,18664,12023,0,1971,481
2004,59022,Prince George--Peace River,CPC,104257,36407,36245,4988,21281,7501,0,2073,402
2004,59023,Richmond,LIB,106621,41148,40922,18204,14457,6142,0,1743,376
2004,59024,Saanich--Gulf Islands,CPC,110284,63930,63771,17082,22050,13763,0,10662,214
2004,59025,Skeena--Bulkley Valley,NDP,99474,37039,36899,7965,12434,13706,0,1225,1569
2004,59026,Southern Interior,CPC,96144,46444,46281,8310,16940,16260,0,3663,1108
2004,59027,South Surrey--White Rock--Cloverdale,CPC,99317,53470,53338,19611,22760,7663,0,3032,272
2004,59028,Surrey North,OTH,106904,34704,34450,5413,4340,8312,0,658,15727
2004,59029,Vancouver Centre,LIB,105998,53019,52793,21280,10139,17050,0,3580,744
2004,59030,Vancouver East,NDP,107421,41839,41534,10768,4153,23452,0,2365,796
2004,59031,Vancouver Island North,CPC,109380,53038,52902,11352,18733,18250,0,4456,111
2004,59032,Vancouver Kingsway,LIB,115325,43092,42697,17267,7037,15916,0,1521,956
2004,59033,Vancouver Quadra,LIB,112985,55829,55665,29187,14648,8348,0,3118,364
2004,59034,Vancouver South,LIB,113063,41160,40876,18196,10426,10038,0,1465,751
2004,59035,Victoria,LIB,104561,58381,58212,20398,12708,18093,0,6807,206
2004,59036,West Vancouver--Sunshine Coast,CPC,124572,60683,60544,19685,21372,13156,0,5887,444
2004,60001,Yukon,LIB,28674,12578,12528,5724,2618,3216,0,571,399
2004,61001,Western Arctic,LIB,37360,13546,13478,5317,2314,5264,0,583,0
2004,62001,Nunavut,LIB,26745,7475,7442,3818,1075,1129,0,248,1172
2006,10001,Avalon,CPC,79548,37735,37112,14318,19132,3365,0,297,0
