Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2019,46008,Provencher,CPC,99946,71676,48627,48305,6347,31821,6187,0,2884,1066
2019,46009,Saint Boniface--Saint Vital,LIB,89818,68631,47607,47338,20300,15436,8037,0,2671,894
2019,46010,Selkirk--Interlake--Eastman,CPC,94778,74439,49924,49602,6003,31109,8873,0,2934,683
2019,46011,Winnipeg Centre,NDP,85949,59762,31998,31724,10704,5561,13073,0,1661,725
2019,46012,Winnipeg North,LIB,95676,63681,32978,32735,15581,6820,8469,0,906,959
2019,46013,Winnipeg South,LIB,99678,69567,48192,47889,20182,18537,6678,0,2073,419
2019,46014,Winnipeg South Centre,LIB,93053,71760,50928,50661,22799,15051,8965,0,3173,673
2019,47001,Battlefords--Lloydminster,CPC,73506,51893,36099,35821,2426,28030,4098,0,605,662
2019,47004,Carlton Trail--Eagle Creek,CPC,80662,58887,45189,44949,2085,35313,5535,0,873,1143
2019,47002,Cypress Hills--Grasslands,CPC,68353,50705,38674,38415,1595,31140,3666,0,719,1295
2019,47003,Desnethé--Missinippi--Churchill River,CPC,70891,47985,27473,27257,7225,11531,7741,0,543,217
2019,47005,Moose Jaw--Lake Centre--Lanigan,CPC,79733,59700,45275,44984,2517,31993,7660,0,1201,1613
2019,47006,Prince Albert,CPC,79625,58367,39947,39710,4107,26891,6925,0,839,948
2019,47007,Regina--Lewvan,CPC,92426,68770,51926,51614,6826,27088,14767,0,2099,834
2019,47008,Regina--Qu'Appelle,CPC,76017,56412,39078,38755,4543,24463,7685,0,1282,782
2019,47009,Regina--Wascana,CPC,84153,60451,45699,45355,15242,22418,5801,0,1316,578
2019,47012,Saskatoon West,CPC,83711,61577,39382,38985,2863,18597,15708,0,1042,775
2019,47010,Saskatoon--Grasswood,CPC,82946,64874,49776,49439,8419,26336,12672,0,1320,692
2019,47011,Saskatoon--University,CPC,82663,62012,47298,47027,6146,24514,13994,0,1401,972
2019,47013,Souris--Moose Mountain,CPC,72635,52708,41664,41550,1718,35067,3214,0,681,870
2019,47014,Yorkton--Melville,CPC,71031,53643,39056,38769,2488,29523,4747,0,1070,941
2019,48001,Banff--Airdrie,CPC,135762,108264,78473,78080,8425,55504,8185,0,3315,2651
2019,48002,Battle River--Crowfoot,CPC,110223,83139,62712,62360,2557,53309,3185,0,1689,1620
2019,48003,Bow River,CPC,115022,80610,55372,55138,3173,46279,3086,0,826,1774
2019,48004,Calgary Centre,CPC,119176,97129,66249,65864,17771,37306,6516,0,2853,1418
2019,48005,Calgary Confederation,CPC,122023,93160,66302,65892,14908,36312,7312,0,5700,1660
2019,48006,Calgary Forest Lawn,CPC,111830,75683,40359,39964,8690,23805,4227,0,1318,1924
2019,48007,Calgary Heritage,CPC,112087,82059,57975,57715,8057,40817,5278,0,2027,1536
2019,48008,Calgary Midnapore,CPC,121844,94245,68426,68088,7507,50559,6445,0,1992,1585
2019,48009,Calgary Nose Hill,CPC,115795,83395,55571,55309,8703,38588,5304,0,1554,1160
2019,48010,Calgary Rocky Ridge,CPC,131823,98738,70934,70650,13012,48253,6051,0,2011,1323
2019,48011,Calgary Shepard,CPC,147520,112660,78581,78140,8644,58614,6828,0,2345,1709
2019,48012,Calgary Signal Hill,CPC,121392,88690,63719,63478,9722,44421,5355,0,2139,1841
2019,48013,Calgary Skyview,CPC,135730,84915,51049,50552,14327,26533,7540,0,800,1352
2019,48014,Edmonton Centre,CPC,109941,83112,53454,53092,17524,22006,10959,0,1394,1209
2019,48015,Edmonton Griesbach,CPC,112287,83188,47282,46963,8100,24120,11800,0,1189,1754
2019,48016,Edmonton Manning,CPC,121048,89968,54737,54380,11692,30425,9555,0,1255,1453
2019,48017,Edmonton Mill Woods,CPC,118561,78601,53519,53177,17879,26736,6422,0,968,1172
2019,48018,Edmonton Riverbend,CPC,120863,87305,61477,61148,14038,35126,9332,0,1797,855
