Year,RO Year,FED Id,FED Name,population age 0-4,population age 5-9,population age 10-14 years,population age 15-17,population age 18-19,population age 20-24,population age 25-29,population age 30-34,population age 35-39,population age 40-44,population age 45-49,population age 50-54,population age 55-59,population age 60-64,population age 70-74,population age 75-79,population age 80-84,population age 85+,couple families with 1 child,couple families with 2 children,couple families with 3 or more children,average num of persons per family,private households by household size 1 person,private households by household size 2 persons,private households by household size 3 persons,mother tongue single responses english,mother tongue single responses french,mother tongue multiple responses english and french,knowledge of official languages english only,knowledge of official languages french only,knowledge of official languages english and french,knowledge of official languages neither english nor french,first official language spoken english,first official language spoken french,first official language spoken english and french,first official language spoken neither english nor french,first official language spoken official language minority num,home language spoken single responses english,home language spoken single responses french,population 1 year and over by mobility status 1 year ago movers,populati...over by mobility status 1 year ago migrants 250516AB,populati...obility status 1 year ago internal migrants E5731743,populati... status 1 year ago intraprovincial migrants 9412EDCF,populati...obility status 1 year ago external migrants C5DD2868,canadian citizenship,citizenship other than canadian,population 15+ by generation status 1st generation,population 15+ by generation status 2nd generation,population 15+ by generation status 3rd generation and over,first nations north american indian single identity,métis single identity,inuit single response identity,labour force 15+ by occupation not applicable,labour f...ness finance and administration occupations 2B82C03E,labour f...nd applied sciences and related occupations BF041023,labour force 15+ by occupation health occupations,labour f...pations in art culture recreation and sport E6577C9B,labour force 15+ by occupation sales and service occupations,population aged 15+ by place of work status worked at home,populati... place of work status worked outside canada B2E16A0B,populati...e of work status no fixed workplace address 90CEDF61,populati... place of work status worked at usual place C99B477F,employed...nsportation car truck or van as a passenger 0212B8C0,employed...5+ by mode of transportation public transit B18141EA,employed labour force 15+ by mode of transportation walked,employed labour force 15+ by mode of transportation bicycle,employed...15+ by mode of transportation other methods FC108373
2001,1996,35054,Nipissing ,3870,4740,5360,3340,2120,4730,4010,4425,6160,6305,5610,5380,4255,3765,2765,2160,1380,1120,3000,3650,1615,2.9,7405,10700,4805,57990,11895,1100,52360,480,20755,50,61580,11705,315,50,11865,60595,2210,10730,4740,4580,4045,160,72965,685,3750,7315,48610,2600,1700,0,660,5970,1830,2345,680,10335,2190,105,3175,28475,13205,1185,410,1405,270
2001,1996,35055,Northumberland ,5145,6915,7540,4650,2665,4910,4570,5685,8465,8635,7620,7195,5735,5335,4580,3705,2285,1710,3960,5130,2535,2.9,8890,14970,6150,94265,1785,160,93625,105,6860,110,98895,1665,50,85,1690,96895,285,13685,7210,6870,6255,340,98790,1905,9810,14670,56595,1230,550,20,650,6295,2220,2275,1025,12630,4305,185,4020,38235,19130,1795,140,1200,360
2001,1996,35056,Oak Ridges ,10675,12250,13220,7545,4750,10755,10455,12865,16145,16760,14290,12585,8065,6430,4530,3325,1820,1350,9555,13835,5650,3.2,7390,13600,10610,91745,1630,285,151970,135,14015,6655,162485,1760,1990,6540,2750,100735,275,25575,14540,12115,11320,2425,154665,18110,74360,29625,32575,260,125,0,1325,21530,9870,4095,2750,18540,8085,630,7770,74415,36710,1800,3780,700,140
2001,1996,35057,Oakville ,5255,7195,7815,4460,2840,6295,5180,5890,8110,9575,8615,7760,6305,4720,3785,2920,1750,1305,4745,7365,3190,3.1,6915,11740,6150,80660,1855,295,88985,55,13145,915,99610,1960,645,885,2285,85720,210,11300,6635,5250,4455,1380,95590,7505,28065,20150,34565,295,65,10,570,11915,4735,2385,2060,12810,4775,385,3455,46035,20730,1350,3050,870,150
2001,1996,35058,Oshawa ,6385,7615,7455,4190,2725,7310,7330,7520,9620,9115,7725,6895,5230,4375,3585,3065,1670,1345,4420,5040,2130,3.0,10230,13370,7335,91365,2575,335,98040,90,7160,620,102645,2465,205,590,2570,95875,400,15565,6695,6415,5845,285,102830,3080,16070,17485,51005,1000,390,0,770,9265,2770,2075,945,14390,1895,115,4615,45665,21970,2210,1725,1035,300
2001,1996,35059,Ottawa Centre ,5085,4965,4840,2970,2290,10280,12995,11240,10140,8860,8690,8175,5320,4045,3310,3135,2225,1900,3570,3700,1745,2.8,23220,17920,6635,74425,11010,915,68345,685,41155,2175,96430,11690,2120,2110,12750,77575,3180,23005,9010,6590,3515,2425,102975,9380,27925,18820,50590,905,435,125,975,12490,10770,3235,4455,12445,4495,385,3220,56400,15480,1040,6335,6025,1900
2001,1996,35060,Ottawa South ,7530,8140,8165,4730,3055,8210,8340,8855,9805,9895,8420,7500,5400,4460,4275,3650,2260,1425,4855,5755,3170,3.0,11885,14930,7575,66950,15170,1155,72415,1685,40915,2460,95015,16575,3600,2285,18375,70030,5375,17850,6915,4740,2425,2175,107100,10370,33300,15790,44545,630,340,60,1290,12185,7935,3190,2005,13770,3295,310,2875,50480,18865,1185,5890,885,820
2001,1996,35061,Ottawa - Vanier ,5180,5405,5320,3295,2580,9480,9260,8225,8620,8360,7655,7615,5970,4635,3530,3080,2135,1755,3415,3400,1700,2.8,16995,15865,6600,46640,33830,1540,43510,3780,54660,1465,63300,35925,2805,1380,37330,48070,17120,20745,7955,5745,2955,2205,96095,7315,23025,11500,52875,1175,550,105,1195,11810,6825,2560,2840,12830,3030,270,3495,46855,14755,1145,5365,3400,1060
2001,1996,35062,Ottawa West - Nepean ,6055,6425,6405,3680,2615,7525,8575,8465,9190,8530,7505,6770,5400,5105,4985,4530,3085,2415,4755,4705,2180,2.9,14245,16050,7100,70200,7610,835,77895,880,29010,2355,96925,8100,2820,2295,9510,75005,1625,17470,7355,5095,2835,2265,99120,11025,30780,15960,44610,675,270,55,960,10030,10780,2765,1895,12120,2645,295,3010,47180,18910,1045,5015,1110,655
2001,1996,35063,Oxford ,6210,7105,7285,4460,2770,5740,5570,6250,8105,8090,7140,6370,4990,4275,3770,3325,2070,1730,3990,5330,3225,3.0,8390,13080,5740,86700,960,60,93750,40,3850,325,96695,865,75,320,905,91035,155,11890,5375,5165,4805,210,95730,2240,10595,15905,50945,595,140,0,720,7150,1565,2340,840,10935,6010,135,3905,39810,20015,1800,70,1300,415
2001,1996,35064,Parkdale - High Park ,6150,5540,4980,2755,2020,6470,10415,11985,11290,9670,8315,6925,4670,3590,3160,3320,1905,1565,4640,4410,1725,2.8,17935,14830,7180,58625,1665,230,88760,165,14315,2915,99945,1915,1435,2860,2630,65345,315,16750,6080,2845,2050,3230,90470,15680,45435,19715,24305,580,120,15,1225,11190,5985,2760,5510,12660,4255,305,5190,48780,14290,840,10520,1300,960
2001,1996,35065,Parry Sound - Muskoka ,3910,4970,5620,3485,2040,3990,3585,4490,6310,6815,6595,6260,5780,5395,4395,3360,1940,1420,3055,4025,1690,2.8,8095,13870,4800,78205,1260,130,78805,15,4815,105,82500,1135,25,75,1150,80905,90,9710,4900,4650,4460,250,82330,1405,6755,11915,50440,1895,780,0,375,5140,1270,1995,1010,11505,4055,110,5390,29625,15330,1565,50,1210,165
2001,1996,35066,Perth - Middlesex ,5930,7140,7495,4600,2885,5900,5290,5830,7600,8055,7355,6445,5055,4100,3405,2885,1990,1705,3915,5405,3650,3.1,7860,11935,5360,86370,525,55,92045,10,3425,235,94965,475,45,220,495,90260,20,9950,5235,4760,4395,480,93515,2200,8575,12250,54345,410,100,20,410,7675,1900,2795,1130,10890,8175,155,3925,40760,19455,1510,170,1785,565
2001,1996,35067,Peterborough ,5360,6840,7855,4925,3120,6990,5410,6080,7950,8750,8565,7865,6465,5435,5215,4560,2970,2400,4075,5535,2645,2.9,11045,16565,6535,102875,1220,195,102170,25,7695,110,108675,1160,65,95,1195,105470,125,15735,6995,6505,6010,485,107795,2205,9865,16190,63980,2180,535,30,1145,8225,2660,3440,1315,14500,4270,185,4955,41750,19665,1965,465,1540,690
2001,1996,35068,Pickering - Ajax - Uxbridge ,9480,11795,12040,6700,4010,7850,6800,9730,13945,13685,11395,9585,6130,4235,2825,1980,1095,810,6300,10525,4935,3.3,4640,10700,8025,114270,1680,240,126670,65,9675,535,134405,1645,365,525,1830,120675,180,14650,8735,8040,7515,695,129960,6985,36325,25170,42265,425,210,30,1015,18460,5940,3330,1845,16545,5095,205,6145,63365,30705,1850,3075,740,165
2001,1996,35069,Prince Edward - Hastings ,4660,5910,6300,3840,2600,5390,4620,5310,7360,7640,6860,6495,5260,4615,4140,3425,2265,1675,3770,4540,1910,2.9,9190,14070,5735,84725,1730,220,85180,135,5970,185,89495,1735,80,160,1775,86845,415,12550,5745,5510,4780,235,89775,1695,8390,11240,54900,1735,280,0,745,6305,2510,2425,830,12220,3540,130,3795,35645,17295,1320,285,1145,355
2001,1996,35070,Renfrew - Nipissing - Pembroke ,5325,6485,6855,4105,2445,4920,5145,6025,8145,7985,6960,6575,5305,4685,4015,3290,2060,1650,4110,5110,2440,2.9,9060,13680,5890,84975,4290,595,83950,135,10880,65,90595,4115,255,65,4245,88250,695,11345,5890,5735,4440,155,93910,1115,5495,8020,62800,1920,1320,20,555,5955,2460,2635,745,13675,3945,185,3625,36425,18155,1695,185,1385,360
2001,1996,35071,Sarnia - Lambton ,4485,5635,6305,3990,2500,5310,4525,4990,6260,7300,7180,6585,5065,4130,3810,3105,1810,1315,3380,4520,2405,2.9,9690,12650,5210,77645,2250,435,80500,115,6625,220,84955,2090,200,215,2190,81195,400,11140,4035,3640,3295,385,85350,2110,11160,13790,46070,1735,510,15,800,5995,3125,2450,815,12680,2115,675,3210,35460,17580,1375,230,650,340
2001,1996,35072,Sault Ste. Marie ,3465,4520,5085,3195,2100,4425,3490,4025,5590,6490,6035,5485,4430,3830,3400,2575,1570,1240,3450,3835,1430,2.9,8005,10560,4945,60980,3035,280,65260,75,7695,440,70105,2860,75,430,2900,65655,295,9380,1880,1725,1470,155,72115,1360,8660,13120,38570,2530,1845,0,985,5255,1880,2535,585,10720,1180,500,1735,29060,13395,900,400,1110,185
2001,1996,35073,Scarborough - Agincourt ,6195,6645,6565,4365,3065,7785,7995,8480,9530,8785,8390,7700,5895,5540,4760,3735,2130,1655,6555,6890,2975,3.1,6995,9760,7205,42090,865,165,96465,120,6745,10450,100635,1095,1770,10285,1980,44380,120,14930,5420,1820,1450,3605,94450,19330,69730,13630,10920,100,65,0,1555,13510,5500,2160,1205,12615,2525,410,3970,45650,18530,1045,5290,510,130
2001,1996,35074,Scarborough Centre ,8120,8350,7315,4240,2830,7680,8580,10025,11045,9930,8335,7045,5620,5410,5515,3925,2055,1465,6275,6670,3105,3.0,8465,12425,8195,64585,1060,115,110525,55,6020,5040,114645,1180,960,4860,1660,68445,255,16970,6555,1845,1340,4705,100700,20940,60240,17520,20220,305,100,15,1590,13940,4760,2185,1145,14380,2005,345,4530,49320,19800,1075,6735,705,110
2001,1996,35075,Scarborough East ,7410,8525,8160,5105,3330,8135,7385,7715,9095,9200,8670,8400,6505,5205,3355,2570,1450,1280,5155,7110,3490,3.2,6435,9810,7165,75375,1280,250,104530,95,7850,2160,110295,1360,870,2105,1790,79925,215,14185,4475,1820,1350,2655,100640,13995,49685,19160,21695,580,220,0,1295,14530,4875,2850,1755,13015,2690,285,4685,49155,20580,1055,5695,425,45
2001,1996,35076,Scarborough - Rouge River ,7460,8825,8825,5610,3855,9735,8960,9200,11015,10580,9785,9265,6360,5115,3420,2190,1180,715,6790,9240,4125,3.3,3145,6725,7090,50025,730,210,107105,40,6945,12015,112185,790,1375,11755,1475,52370,100,14315,4880,1630,1230,3245,106520,19585,79730,13415,7705,140,25,0,1695,17020,6155,3085,1370,13750,2695,460,4105,53945,22330,1200,5795,445,140
2001,1996,35077,Scarborough Southwest ,7600,8185,7130,4050,2635,6520,7275,9185,10890,9965,8550,7295,5010,4300,4045,3320,1995,1480,5490,5770,2675,3.0,10765,11880,7765,67020,1350,185,100990,80,7015,4430,106155,1415,715,4230,1770,70695,245,15145,5205,1465,1060,3740,95440,17070,48715,16345,24525,495,215,15,1680,13570,4105,2360,1805,12990,2085,220,4810,45840,17045,1110,7265,715,150
2001,1996,35078,Simcoe - Grey ,7220,8930,9655,5390,3120,5935,5970,7790,11140,10805,8960,8405,6830,5970,4850,3500,2035,1630,5045,7155,3540,3.0,8635,16210,7075,110695,2595,240,114390,120,7740,155,119715,2435,120,135,2490,115345,415,16635,10580,10300,8900,280,119645,2755,13995,18820,63780,710,445,15,550,9375,2495,2920,1360,15730,5895,215,6765,48970,26720,1800,125,1365,335
2001,1996,35079,Simcoe North ,5595,7370,8025,4645,2880,5710,5300,6300,8930,9330,8735,7945,6805,5770,4905,4025,2475,1855,4250,5640,2320,2.9,9700,16170,6790,98175,4390,500,99895,20,10090,145,105825,4075,125,120,4140,102715,535,14310,7910,7605,7115,300,107970,2185,10770,14905,63415,2970,3245,10,960,6965,2045,3380,1165,15480,4385,135,4935,42820,20975,2020,255,1245,235
2001,1996,35080,St. Catharines ,5255,6035,6290,3870,2610,6485,6335,6590,7730,7820,7425,7335,6095,5260,4740,4355,2655,2105,4135,5060,2305,2.9,13515,14405,6365,81120,2640,295,93540,130,7225,785,98150,2550,245,750,2665,87840,445,13395,4500,3835,3425,665,97165,4525,20820,20635,42595,845,225,0,810,8280,2515,2680,1280,14785,2410,255,3560,42990,20425,1555,560,1080,395
2001,1996,35081,St. Paul's ,4635,4350,4515,2775,1790,6395,11590,12015,10215,8610,7935,7445,5695,4340,3705,3370,2455,2905,4060,4120,1590,2.8,24765,16570,5875,74825,2155,250,86375,55,18905,1780,101840,2300,1240,1740,2920,81685,485,17910,6895,3945,2480,2955,95375,11735,37245,23890,32415,315,135,10,805,14075,5655,4235,5800,11230,5840,425,3610,53800,14335,500,10370,1955,635
2001,1996,35082,Stoney Creek ,5960,7305,8005,4760,2905,6600,5940,7045,8740,9285,8495,8145,6295,5270,4005,3355,1815,1335,5290,7185,3470,3.1,7130,12635,6875,79575,1255,150,101745,40,5720,1590,105890,1265,375,1550,1455,86515,150,10335,4520,4035,3725,485,104325,4760,26690,24725,36350,590,200,0,735,9510,2970,3080,955,13315,3100,160,4490,47660,24570,1425,665,655,180
2001,1996,35083,Stormont - Dundas - Charlottenburgh ,4845,6595,7145,4135,2550,4770,4590,5375,7590,8160,7240,6915,5320,4555,3725,3130,2015,1600,3780,4945,2245,3.0,9040,13085,5730,68440,18535,1350,56940,1005,34605,130,73590,18440,535,110,18705,70595,5180,11900,4810,4585,3640,225,91280,1390,5890,7910,60220,1200,410,15,710,6430,1870,2600,755,10680,4410,165,3465,35500,17540,1395,230,950,350
2001,1996,35084,Sudbury ,3810,4335,4525,2980,2190,5850,4880,4780,5795,6050,6065,5690,4605,3945,3610,3120,1900,1470,2955,3340,1310,2.8,12180,11985,5105,50375,17570,1060,49510,590,27300,405,59715,17325,375,405,17505,55510,4455,12865,3110,2965,2560,145,76510,1300,7685,9730,47690,2345,1570,0,910,7210,2000,2350,810,11700,1605,75,2570,30980,12985,1150,815,1405,160
2001,1996,35085,Thornhill ,5995,7625,9165,5970,3990,8615,6445,6685,8525,10210,10675,10235,6330,4715,3095,2450,1385,955,6220,9665,4210,3.3,4700,8805,6935,64240,1425,135,101925,70,11645,2965,110695,1525,1420,2955,2235,71425,235,14590,8155,6290,6070,1865,104245,12350,52260,22920,18625,70,30,0,850,15340,6255,3525,2260,13025,5660,380,4485,51925,23940,1110,3595,555,130
2001,1996,35086,Thunder Bay - Atikokan ,4040,4805,5215,3370,2105,4575,4205,4985,6130,6750,6290,5650,4045,3360,2755,2355,1450,1030,3290,4230,1855,3.0,7855,9925,4865,64020,1565,215,69795,35,5005,280,73280,1500,70,260,1535,68985,160,8485,2640,2400,1820,240,73695,1415,7180,15295,38530,3580,1100,15,740,6045,1625,2410,750,10475,1760,120,3060,31190,15520,985,300,760,275
2001,1996,35087,Thunder Bay - Superior North ,4020,5050,5120,3230,2045,4550,4435,4915,5995,6725,6065,5235,3760,3195,2835,2450,1465,1130,3045,3825,1480,2.9,9025,10055,4895,58465,4605,300,64960,380,8695,360,69475,4435,145,340,4505,64350,1115,9730,3435,3220,2385,215,73235,1155,7915,13965,38330,6315,1420,20,630,5005,1915,2255,765,10000,1595,75,2635,30330,13995,1145,425,1240,305
2001,1996,35088,Timiskaming - Cochrane ,3540,4300,5040,3220,1985,3305,3320,3840,5225,6005,5505,5275,4365,3950,2865,2220,1330,985,2555,3375,1590,2.9,7670,10495,4135,38665,27440,1225,33080,2535,33460,20,41280,27540,265,20,27675,39845,12600,8330,3645,3555,3230,85,68685,415,2330,5245,48510,1685,2400,0,745,4395,990,1540,385,7600,2665,45,2630,23135,10900,870,70,1450,220
2001,1996,35089,Timmins - James Bay ,4350,5075,5615,3350,2195,4275,4210,4755,6150,6400,5530,4800,3660,2975,2305,1665,960,725,2890,3825,1590,3.0,6805,8825,4625,29975,33440,1340,27485,4945,38110,325,36525,33515,525,310,33775,31105,17170,9975,3185,3095,2675,90,70395,480,2535,5085,48285,6470,2045,15,965,4705,1610,1835,380,8860,1220,10,2495,27275,12340,1395,270,1635,240
2001,1996,35090,Toronto Centre - Rosedale ,5865,5070,4210,2545,2015,9350,14275,14900,13360,10625,8845,8185,6290,4745,3365,2365,1535,1515,3845,3260,1475,2.7,30985,19430,6460,70845,3690,335,98705,150,19290,2995,113620,3390,1180,2955,3980,78395,795,24475,9110,4810,3420,4300,100530,20615,52860,20360,32735,685,245,15,1950,15250,7100,3650,6475,15580,5655,645,4870,57820,10905,705,11955,9575,1275
2001,1996,35091,Trinity - Spadina ,3865,3550,3595,2295,1875,9310,14965,13385,10270,7675,6320,5770,4325,3980,3190,2430,1390,1385,4015,3350,1495,2.8,17660,14320,6225,49910,1785,260,76110,110,15485,9995,88815,1910,1170,9810,2500,55585,315,20140,7105,3500,2375,3600,84855,16850,47280,22325,21065,495,115,0,1125,10680,6010,2600,7535,12530,4765,400,5570,49005,10510,960,9240,5440,1890
2001,1996,35092,Vaughan - King - Aurora ,12435,12665,12430,6835,4190,9830,11245,14420,15660,14585,11710,10690,7420,6550,3745,2420,1280,1205,9015,13890,6535,3.3,4425,11930,9860,94735,1415,225,147245,90,11990,4540,157010,1420,975,4460,1910,108470,190,23205,14305,13335,13015,965,153130,10735,53100,47940,25160,215,95,0,730,20865,5980,2640,2080,19415,5260,220,9395,74530,41220,1990,1530,525,105
2001,1996,35093,Haliburton - Victoria - Brock ,5205,6850,7940,4745,2635,4945,4260,5420,8075,9010,8375,8015,7005,6205,5710,4260,2690,1995,4085,5510,2845,2.9,9245,17025,5960,102410,1045,100,103575,0,4680,55,107265,985,35,30,1000,105650,20,11915,6925,6735,6315,190,106460,1850,9485,16105,62650,815,415,10,780,7075,1665,2660,1165,12610,6025,100,6575,36975,20225,1910,70,955,240
2001,1996,35094,Waterloo - Wellington ,8535,9600,10095,5980,3655,7440,6700,7840,9950,9980,8925,7700,5770,4410,3370,2655,1560,1390,4810,7275,4985,3.3,6090,12705,6510,95190,910,150,110625,25,5785,1520,115215,915,360,1460,1090,100920,80,13305,6915,6350,5825,565,114295,3655,14885,14675,60045,475,185,10,455,10385,2900,2665,1330,12625,8920,225,5180,49505,26045,1750,375,1180,475
2001,1996,35095,Ancaster - Dundas - Flamborough - Aldershot ,6110,7360,8030,4790,2795,5495,4800,6395,8500,9090,8515,7840,6080,4535,3735,3175,1820,1580,4600,6900,3630,3.1,6300,12415,6050,88395,1310,90,95965,65,6995,330,101565,1265,200,315,1365,94085,225,9975,5135,4570,4145,570,100265,3090,18010,22035,41800,365,95,10,485,9770,3710,4160,1570,11525,5105,240,4730,45075,23035,1145,835,825,405
2001,1996,35096,Whitby - Ajax ,8300,10615,10875,6260,3700,7195,6875,8945,12650,12630,10310,8685,5695,4030,2995,2385,1370,1035,5760,9445,4140,3.2,6595,11660,7955,109900,2275,180,116585,50,9910,510,124010,2165,395,485,2365,114785,365,15535,9865,9255,8775,610,122370,4690,24520,22625,50055,495,270,0,840,14350,4995,3285,1735,16520,3990,155,5005,59010,28405,1785,2730,725,240
2001,1996,35097,Willowdale ,4350,5165,6450,4660,3585,9195,8380,7665,8550,9020,9450,9095,6310,5600,5330,4720,3160,2460,6560,7415,2410,3.0,10815,13530,7910,49185,1155,220,99535,65,11525,6045,107875,1310,2045,5940,2335,55585,140,18390,7825,3150,2335,4675,94265,22910,64185,19455,17530,175,65,0,1395,13385,7985,3380,2410,11050,5205,615,4105,46260,16825,775,6940,890,115
2001,1996,35098,Windsor - St. Clair ,6555,7340,7440,4470,2935,7345,7725,7980,8595,8850,8215,7555,5580,4475,3675,3210,1900,1345,4765,6075,2785,3.0,11530,13260,7105,77050,4725,700,95085,275,11490,1615,101480,4525,910,1555,4980,83625,675,14705,5220,3645,2910,1570,101465,7000,24135,18035,44960,855,455,10,855,7910,3050,3130,910,14750,1560,2110,2695,46890,23220,1370,730,850,370
2001,1996,35099,Windsor West ,7550,7530,7020,4175,2855,9075,9650,9490,9970,8670,7495,6690,5220,4650,4500,3810,2245,1895,4950,5275,2920,3.0,14330,14845,7410,76790,3140,430,102295,160,10275,2275,108490,3070,1215,2230,3675,83210,355,19685,6980,4430,3765,2550,104765,10245,30525,19855,42490,1095,430,10,1570,7460,3890,3015,975,15335,1420,3090,2510,46505,22025,1170,920,1845,675
2001,1996,35100,York Centre ,6255,6385,6130,3845,2550,6700,7250,8240,9255,8505,7120,6590,4715,4965,4725,4255,2545,2030,5960,5960,2460,3.0,9375,11755,7315,43485,1070,45,93000,205,7145,6315,97745,1330,1415,6170,2040,49140,175,13570,5160,1655,1315,3505,85860,20800,59130,18360,10325,165,125,0,1345,10550,4450,2320,1605,11415,2710,235,4750,42155,18140,1120,4850,525,160
2001,1996,35101,York North ,8880,11040,11180,6025,3480,7010,6795,9300,13180,13170,10755,8765,6125,4350,3175,2380,1480,1180,5690,9050,4235,3.2,6740,12585,8100,113695,1785,205,120760,35,9125,610,127940,1715,300,570,1865,119225,240,14745,8655,8165,7725,490,125985,4545,20430,24050,54880,995,375,20,565,13905,4600,2975,1895,16380,5180,240,7160,58935,30900,2385,990,950,160
2001,1996,35102,York South - Weston ,8585,8475,7105,4105,2745,7635,8395,9745,10395,9270,7405,6135,4895,4745,4125,3215,1760,1380,5090,5690,2985,3.1,10425,11315,7650,52910,735,155,101175,245,5785,6385,105085,1015,1335,6150,1685,57340,145,15445,4445,1560,1125,2885,92110,21475,59370,16875,13040,445,75,0,1575,10840,2850,1980,1055,13535,1430,120,6520,43180,18485,1315,5730,545,150
2001,1996,35103,York West ,8365,8425,6755,3850,2745,7975,8720,9535,9200,7545,5845,5205,4085,4310,3225,2145,930,750,4810,5045,3155,3.2,5240,8060,6605,42220,515,100,90450,295,4445,7785,93845,760,835,7540,1180,44565,100,15680,5490,1935,1480,3560,79705,23270,60990,12205,6055,115,90,35,1610,8565,2295,1275,755,9930,1035,110,5015,37790,16465,1105,4820,800,80
2001,1996,46001,Brandon - Souris ,4500,5025,5785,3485,2360,5120,4575,4465,5695,6125,5390,5035,3790,3335,3165,2840,2070,1955,2890,3765,2005,2.9,8950,11260,4345,68660,1410,140,72350,25,3970,90,75055,1260,30,90,1275,71945,190,10430,4605,4285,2725,320,75315,1120,3720,11020,46310,3675,2215,20,375,5965,1085,2815,565,10675,6405,140,3190,30055,13665,1035,285,1575,455
2001,1996,46002,Charleswood St. James - Assiniboia ,3565,4625,4895,2930,2050,4825,4265,4450,5640,6030,5675,5560,4680,3830,2760,2390,1570,1560,3390,4055,1725,2.9,7700,10430,4755,63525,1540,130,66970,0,6495,120,72040,1390,35,120,1405,68185,65,9085,2280,2010,1095,270,72145,1435,7745,14845,37860,935,2190,30,405,9150,2655,2700,930,10810,1955,100,2480,35050,15845,885,1685,595,365
2001,1996,46003,Churchill ,8015,8555,7990,4350,2510,5340,5550,5660,5855,5465,4675,4120,2875,2205,1120,840,500,380,2230,2790,3015,3.4,4670,6110,3835,48710,1085,70,72690,15,3030,1570,74710,1005,50,1545,1025,50415,120,11155,4370,4260,3245,110,76635,670,2035,4430,46150,41600,6475,60,1760,3580,1240,1390,375,8485,1430,40,1835,23820,9190,1280,295,2470,170
2001,1996,46004,Dauphin - Swan River ,4590,5325,5765,3600,1940,3540,3525,3850,4800,5290,5155,4650,4085,3520,3425,3185,2410,2255,2475,3190,2050,3.0,8885,10155,3675,58450,1610,95,69420,55,3685,145,71630,1505,35,140,1525,64060,180,7060,3735,3470,2620,270,72210,1095,2490,12490,42555,10195,5670,35,490,3625,750,1950,325,7670,8920,60,2905,20770,9545,600,45,1185,145
2001,1996,46005,Portage - Lisgar ,5785,6540,6820,4225,2475,4575,4460,4835,5955,6450,5675,4905,3880,3400,2950,2705,1985,1825,2840,3925,3280,3.1,7185,9825,3800,57885,4005,115,73460,160,6605,780,76365,3840,60,745,3865,64430,1010,8985,4585,3965,3305,620,79245,1765,5570,11760,44545,3035,2495,10,320,4920,1005,2925,550,8590,9745,60,3125,27335,13570,900,60,1255,350
2001,1996,46006,Provencher ,6220,7510,7805,4665,2680,5175,4695,5430,7060,7020,6250,5215,4395,3645,2660,2070,1425,1205,3570,4705,3935,3.2,5695,10240,4365,55595,9235,450,72510,270,13670,1035,77145,9130,190,1020,9220,64535,2540,9710,5675,4760,3865,910,84815,2675,7810,12450,45575,1500,4310,20,355,6855,1625,1880,570,9580,7340,315,4825,31935,17455,1210,20,1205,450
2001,1996,46007,Saint Boniface ,4520,5085,5030,3065,2065,5585,5470,5465,6500,6585,6340,5715,4290,3405,3045,2685,1700,1465,3325,4165,1710,2.9,10805,11370,5045,56975,12690,645,59400,405,20310,390,67290,12485,355,370,12665,63085,3320,11275,2375,2095,1060,275,78380,2115,8965,13915,42875,1315,4505,0,470,9985,2430,2930,1160,11205,1925,125,3105,37480,16120,1100,1875,1120,615
2001,1996,46008,Selkirk - Interlake ,5100,6340,6785,3980,2250,4120,4110,4950,6940,7200,6740,6065,5050,4215,3050,2310,1650,1450,3555,4425,2515,3.0,7170,11060,4820,70665,1660,100,80095,40,4085,190,82715,1450,60,190,1485,77765,205,8165,4745,4540,3810,200,83385,1035,4495,13860,47790,8210,6295,35,650,7115,1680,2980,595,9420,6315,120,4230,30640,16110,1025,135,865,200
2001,1996,46009,Winnipeg North Centre ,5210,5785,5580,3140,2005,4865,4835,5275,6095,6130,5395,4705,3205,2605,2365,2490,1595,1415,2820,3150,1820,3.1,8745,8230,4435,49465,970,170,69425,20,3635,1065,72120,835,145,1040,910,55150,25,11425,2470,1910,1155,560,71280,2865,16925,12800,27895,6410,6505,0,655,6635,1105,1805,600,9905,770,60,2965,30485,13020,1350,2245,640,340
2001,1996,46010,Winnipeg Centre ,5075,4670,4485,2605,1915,5505,5685,6175,6715,6315,5345,4590,3150,2465,2360,2345,1785,1755,2470,2405,1360,3.0,13910,8590,4195,48945,1260,95,66460,45,5430,1390,70525,1220,245,1335,1335,53305,130,15370,3730,2720,1305,1010,68145,5180,18200,11490,29275,7135,4445,45,905,5685,1695,1935,1395,10385,1310,25,2615,30535,10740,1020,3320,2035,540
2001,1996,46011,Winnipeg South ,5175,6200,6570,3910,2695,7000,5640,5740,7380,7820,7325,6165,4165,2980,2415,1945,1205,975,4180,5790,2415,3.1,6650,10695,5625,66540,3930,245,74315,100,11815,715,82155,3810,285,690,3955,72275,765,12215,3710,2900,1585,815,83000,3950,14495,14760,39885,1050,2200,25,435,10655,4100,4195,1225,11785,2530,215,3110,42115,18600,1035,2125,785,375
2001,1996,46012,Winnipeg South Centre ,3525,3635,3670,2300,1705,6355,7355,6375,6095,5710,5490,5070,3740,2860,2970,2965,2350,2280,2455,2620,1225,2.8,16670,12100,4040,60650,1925,145,66145,60,8630,360,72865,1775,230,330,1890,65545,245,14310,3265,2315,1050,955,71760,3440,12305,15910,36055,1915,2180,10,370,8280,3145,3570,2365,10700,2400,160,2595,37085,13650,860,2785,2370,715
