event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	candidate_occupation_english	candidate_occupation_french	elected_indicator	incumbent_indicator	candidate_vote	candidate_vote_percentage	candidate_residence	candidate_province_english	candidate_province_french	candidate_party_english_name	candidate_party_french_name
3700	ED35-025	5	Heather		Hanson	F	Student	Étudiante	N	N	117	0.22	Orléans	Ontario	Ontario	Natural Law Party	Parti de la loi naturelle
3700	ED35-025	6	Louis		Lang	M	Postal Clerk	Commis des postes	N	N	41	0.08	Aylmer	Quebec	Québec	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-025	7	Maureen		Prebinski	F	Resource Technician-Union Representative	Technicienne en ressources-Représentante syndicale	N	N	2169	4.15	Orléans	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-025	8	Jean		Saintonge	M	Air Force Retired	Retraité de l'armée de l'air	N	N	108	0.21	Orléans	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-025	9	Richard		Warman	M	Student	Étudiant	N	N	561	1.07	Ottawa	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-026	1	Marie		Adsett	F	Television Broadcaster	Télédiffuseur	N	N	10188	18.57	Guelph	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-026	2	Brenda		Chamberlain	F	Housewife	Maîtresse de maison	Y	Y	26440	48.19	Centre Wellington	Ontario	Ontario	Liberal	Libéral
3700	ED35-026	3	Manuel		Couto	M	Industrial Worker	Travailleur industriel	N	N	68	0.12	Toronto	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-026	4	Bill		Hulet	M	Library Porter	Employé de bibliothèque	N	N	966	1.76	Guelph	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-026	5	Max		Layton	M	High School Teacher	Enseignant au niveau secondaire	N	N	11037	20.12	Cheltenham	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-026	6	Edward		Pickersgill	M	Housing Coordinator	Coordonnateur de l'habitation	N	N	5685	10.36	Guelph	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-026	7	Sharon		Tanti	F	Registered Insurance Broker	Courtière d'assurances inscrite	N	N	207	0.38	Guelph	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-026	8	Gord		Truscott	M	Journalist	Journaliste	N	N	275	0.5	Guelph	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-027	1	Jim		Maki	M	Parliamentarian Staff	Membre du personnel parlementaire	N	N	15416	34.59	Port Dover	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-027	2	L.	Scott	Morgan	M	Caretaker	Concierge	N	N	397	0.89	Simcoe	Ontario	Ontario	Canadian Action	Action canadienne
